number,title,url,misc
48,"Meditation and Insight, Part 1 - Culadasa",https://www.youtube.com/watch?v=WbqhyGbIkic,VM2048:1 
49,"Meditation and Insight, Part 2 - Culadasa",https://www.youtube.com/watch?v=holYpHpF_v8,VM2048:1 
50,"Meditation and Insight, Part 3 - Culadasa",https://www.youtube.com/watch?v=G_X9f5tPcv0,VM2048:1 
51,"Meditation and Insight, Part 4 - Culadasa",https://www.youtube.com/watch?v=BdNzQ5mpMPM,VM2048:1 
52,"Meditation and Insight, Part 5 - Culadasa",https://www.youtube.com/watch?v=dp1YUUw9_xQ,VM2048:1 
53,"Meditation and Insight, Part 3, Meditation Only - Culadasa",https://www.youtube.com/watch?v=pUJGCaaECnY,VM2048:1 
54,"Meditation and Insight, Part 6 - Culadasa",https://www.youtube.com/watch?v=X3I8gD_VuH0,VM2048:1 
55,"Meditation and Insight, Part 8 - Culadasa",https://www.youtube.com/watch?v=litqY-oF1DY,VM2048:1 
56,"Meditation and Insight, Part 7 - Culadasa",https://www.youtube.com/watch?v=irovcJniM34,VM2048:1 
57,"Meditation and Insight, Part 9 - Culadasa",https://www.youtube.com/watch?v=xGDw947qcO4,VM2048:1 
58,"Meditation for Peace, Part 1 - Culadasa",https://www.youtube.com/watch?v=om9lc05kShI,VM2048:1 
59,"Meditation for Peace, Part 2 - Culadasa",https://www.youtube.com/watch?v=XWs7iJuRlNk,VM2048:1 
60,"Meditation for Peace, Part 4 - Culadasa",https://www.youtube.com/watch?v=gc4OIzNCzJE,VM2048:1 
61,"Meditation for Peace, Part 3, Meditation Followed by Discussion - Culadasa",https://www.youtube.com/watch?v=i2smsi-Po5s,VM2048:1 
62,"Meditation for Peace, Part 5 - Culadasa",https://www.youtube.com/watch?v=_c0SvbC3n0E,VM2048:1 
63,"Meditation for Peace, Part 8 - Culadasa",https://www.youtube.com/watch?v=X2I1Xkpu1ao,VM2048:1 
64,"Meditation for Peace, Part 6 - Culadasa",https://www.youtube.com/watch?v=_O0HwUi4L8M,VM2048:1 
65,"Meditation for Peace, Part 7, Guided Metta - Culadasa",https://www.youtube.com/watch?v=w5yfStrGXZs,VM2048:1 
66,"Joy & Meditation, Part 1, Introduction - Culadasa",https://www.youtube.com/watch?v=PbKB7L3wXN4,VM2048:1 
67,"Joy & Meditation, Part 3 - Culadasa",https://www.youtube.com/watch?v=4h_jZo7D8nY,VM2048:1 
68,"Joy & Meditation, Part 2, Meditation - Culadasa",https://www.youtube.com/watch?v=pnVa5LOFYMI,VM2048:1 
69,"Joy & Meditation, Part 4, Guided-Meditation - Culadasa",https://www.youtube.com/watch?v=Xfj-XisH-f8,VM2048:1 
70,"Joy & Meditation, Part 5 - Culadasa",https://www.youtube.com/watch?v=WuHTnUFJvTY,VM2048:1 
71,"Joy & Meditation, Part 6 - Culadasa",https://www.youtube.com/watch?v=x8f4ywGuz7E,VM2048:1 
72,"Joy & Meditation, Part 8 - Culadasa",https://www.youtube.com/watch?v=5P-EcrWA3JE,VM2048:1 
73,"Joy & Meditation, Part 7, Guided-Meditation - Culadasa",https://www.youtube.com/watch?v=QdWx1DyPoG4,VM2048:1 
74,"Joy & Meditation, Part 9 - Culadasa",https://www.youtube.com/watch?v=VvWGrbkl7XU,VM2048:1 
75,"Joy & Meditation, Part 11 - Culadasa",https://www.youtube.com/watch?v=GEJPm0EpZIY,VM2048:1 
76,"Joy & Meditation, Part 10, Guided-Meditation - Culadasa",https://www.youtube.com/watch?v=-UjegcD2NOI,VM2048:1 
77,"Joy & Meditation, Part 12 - Culadasa",https://www.youtube.com/watch?v=kLLUeGyKLFw,VM2048:1 
78,"Joy & Meditation, Part 13, Closing Meditation - Culadasa",https://www.youtube.com/watch?v=7pXwbEuqlds,VM2048:1 
79,"What Is Enlightenment, Part 1 - Culadasa",https://www.youtube.com/watch?v=sJ02xiHY1KI,VM2048:1 
80,"What Is Enlightenment, Part 2 - Culadasa",https://www.youtube.com/watch?v=hM2qhko-5V0,VM2048:1 
81,"What Is Enlightenment, Part 4 - Culadasa",https://www.youtube.com/watch?v=gTTbURalWwY,VM2048:1 
82,"What Is Enlightenment, Part 3 - Culadasa",https://www.youtube.com/watch?v=6udxIzA9B8I,VM2048:1 
83,"What Is Enlightenment, Part 5 - Culadasa",https://www.youtube.com/watch?v=GoiFe39LKiE,VM2048:1 
